"","id","time","production"
"209","AUS",2002,1832.49424486697
"210","AUS",2003,2109.24703310728
"211","AUS",2004,1893.2305305922
"212","AUS",2005,1811.8693713212
"213","AUS",2006,1988.80439191461
"214","AUS",2007,1767.91967462182
"215","AUS",2008,2073.27839007854
"216","AUS",2009,1865.37040711045
"217","AUS",2010,1860.24729727864
"218","AUT",1980,709.564283614922
"219","AUT",1981,740.358720001243
"220","AUT",1982,678.753239100464
"221","AUT",1983,642.639526124191
"222","AUT",1984,904.652957754135
"223","AUT",1985,898.02909105368
"224","AUT",1986,809.649793125987
"225","AUT",1987,903.331096070707
"226","AUT",1988,876.565989272259
"227","AUT",1989,756.996854203632
"228","AUT",1990,908.930225327462
"229","AUT",1991,731.196607141197
"230","AUT",1992,743.279622074254
"231","AUT",1993,734.560745858215
"232","AUT",1994,861.399036474228
"233","AUT",1995,840.879380913377
"234","AUT",1996,923.94190628469
"235","AUT",1997,913.613116459847
"236","AUT",1998,764.659871998802
"237","AUT",1999,862.785309119821
"238","AUT",2000,793.418177961111
"239","AUT",2001,788.872187911272
"240","AUT",2002,946.791633148789
"241","AUT",2003,804.214140247647
"242","AUT",2004,820.111508331522
"243","AUT",2005,776.861545352638
"244","AUT",2006,871.471757938266
"245","AUT",2007,905.242567523122
"246","AUT",2008,836.412226387262
"247","AUT",2009,873.340976029038
"248","AUT",2010,785.344028589427
"249","AZE",1980,22.5263740539551
"250","AZE",1981,19.6981864929199
"251","AZE",1982,20.4306662750244
"252","AZE",1983,17.3840817260742
"253","AZE",1984,14.854186706543
"254","AZE",1985,16.4059471893311
"255","AZE",1986,14.2357608032227
"256","AZE",1987,18.0851989746094
"257","AZE",1988,19.981171875
"258","AZE",1989,16.2762144470215
"259","AZE",1990,15.2756799316406
"260","AZE",1991,16.0876803588867
"261","AZE",1992,19.2970392608643
"262","AZE",1993,14.3966670227051
"263","AZE",1994,15.8024551391602
"264","AZE",1995,20.5394922637939
"265","AZE",1996,21.0944528961182
"266","AZE",1997,20.4469058990479
"267","AZE",1998,13.6457061767578
"268","AZE",1999,15.7808001708984
"269","AZE",2000,19.67970703125
"270","AZE",2001,20.5764543914795
"271","AZE",2002,24.169040222168
"272","AZE",2003,15.5465336608887
"273","AZE",2004,17.0077617645264
"274","AZE",2005,18.6390396881104
"275","AZE",2006,22.0563446044922
"276","AZE",2007,18.0762412261963
"277","AZE",2008,16.3650677490234
"278","AZE",2009,17.6168534088135
"279","AZE",2010,22.0565336608887
"280","BDI",1980,32.000635664463
"281","BDI",1981,33.2515302097797
"282","BDI",1982,32.4317920577526
"283","BDI",1983,34.2216295301914
"284","BDI",1984,35.3049582576752
"285","BDI",1985,32.4698347258568
"286","BDI",1986,45.3891108632088
"287","BDI",1987,30.4010115325451
"288","BDI",1988,36.342993991375
"289","BDI",1989,35.3910061240196
"290","BDI",1990,28.486172618866
"291","BDI",1991,34.5069546699524
"292","BDI",1992,36.8004169154167
"293","BDI",1993,34.1944582474232
"294","BDI",1994,38.5313778042793
"295","BDI",1995,40.613788690567
"296","BDI",1996,32.7270797276497
"297","BDI",1997,33.3647575652599
"298","BDI",1998,29.2117098784447
"299","BDI",1999,30.3530042827129
"300","BDI",2000,32.84573969841
"301","BDI",2001,34.5132940888405
"302","BDI",2002,26.2244156742096
"303","BDI",2003,34.9263369774818
"304","BDI",2004,39.4235822844505
"305","BDI",2005,35.5051320767403
"306","BDI",2006,35.3937265348434
"307","BDI",2007,36.5150897240639
"308","BDI",2008,31.6337905216217
"309","BDI",2009,38.2406221008301
"310","BDI",2010,32.245197725296
"311","BEL",1980,0
"312","BEL",1981,0
"313","BEL",1982,0
"314","BEL",1983,0
"315","BEL",1984,0
"316","BEL",1985,0
"317","BEL",1986,0
"318","BEL",1987,0
"319","BEL",1988,0
"320","BEL",1989,0
"321","BEL",1990,0
"322","BEL",1991,0
"323","BEL",1992,0
"324","BEL",1993,0
"325","BEL",1994,0
"326","BEL",1995,0
"327","BEL",1996,0
"328","BEL",1997,0
"329","BEL",1998,0
"330","BEL",1999,0
"331","BEL",2000,0
"332","BEL",2001,0
"333","BEL",2002,0
"334","BEL",2003,0
"335","BEL",2004,0
"336","BEL",2005,0
"337","BEL",2006,0
"338","BEL",2007,0
"339","BEL",2008,0
"340","BEL",2009,0
"341","BEL",2010,0
"342","BEN",1980,175.407149372101
"343","BEN",1981,176.049203658104
"344","BEN",1982,179.892440948486
"345","BEN",1983,179.280438513756
"346","BEN",1984,161.934006972313
"347","BEN",1985,166.707020845413
"348","BEN",1986,167.315934705734
"349","BEN",1987,164.35595954895
"350","BEN",1988,162.369912071228
"351","BEN",1989,143.337007403374
"352","BEN",1990,167.944220714569
"353","BEN",1991,167.959018378258
"354","BEN",1992,164.918982701302
"355","BEN",1993,182.228429069519
"356","BEN",1994,189.874755649567
"357","BEN",1995,182.888732376099
"358","BEN",1996,135.293501698971
"359","BEN",1997,155.086995437145
"360","BEN",1998,162.463716692924
"361","BEN",1999,196.129275631905
"362","BEN",2000,158.125173330307
"363","BEN",2001,170.904319486618
"364","BEN",2002,163.993139433861
"365","BEN",2003,176.246490387917
"366","BEN",2004,198.355773305893
"367","BEN",2005,165.982508645058
"368","BEN",2006,163.068586821556
"369","BEN",2007,148.187791326046
"370","BEN",2008,172.150377078056
"371","BEN",2009,174.226652007103
"372","BEN",2010,175.966226391792
"373","BFA",1980,0
"374","BFA",1981,0
"375","BFA",1982,0
"376","BFA",1983,0
"377","BFA",1984,0
"378","BFA",1985,0
"379","BFA",1986,0
"380","BFA",1987,0
"381","BFA",1988,0
"382","BFA",1989,0
"383","BFA",1990,0
"384","BFA",1991,0
"385","BFA",1992,0
"386","BFA",1993,0
"387","BFA",1994,0
"388","BFA",1995,0
"389","BFA",1996,0
"390","BFA",1997,0
"391","BFA",1998,0
"392","BFA",1999,0
"393","BFA",2000,0
"394","BFA",2001,0
"395","BFA",2002,0
"396","BFA",2003,0
"397","BFA",2004,0
"398","BFA",2005,0
"399","BFA",2006,0
"400","BFA",2007,0
"401","BFA",2008,0
"402","BFA",2009,0
"403","BFA",2010,0
"404","BGD",1980,0
"405","BGD",1981,0
"406","BGD",1982,0
"407","BGD",1983,0
"408","BGD",1984,0
"409","BGD",1985,0
"410","BGD",1986,0
"411","BGD",1987,0
"412","BGD",1988,0
"413","BGD",1989,0
"414","BGD",1990,0
"415","BGD",1991,0
"416","BGD",1992,0
"417","BGD",1993,0
"418","BGD",1994,0
"419","BGD",1995,0
"420","BGD",1996,0
"421","BGD",1997,0
"422","BGD",1998,0
"423","BGD",1999,0
"424","BGD",2000,0
"425","BGD",2001,0
"426","BGD",2002,0
"427","BGD",2003,0
"428","BGD",2004,0
"429","BGD",2005,0
"430","BGD",2006,0
"431","BGD",2007,0
